Experiment,Condition,Biome,dsc,scv,sbv,sci,cap,Left,Perc.Accom
atmosphereAnalysis,Landed@Kerbin,IceCaps,10,1,0.3,0,7.2,7.2,0.00
atmosphereAnalysis,Landed@Kerbin,Mountains,10,1,0.3,0,7.2,7.2,0.00
atmosphereAnalysis,Landed@Kerbin,Shores,10,0.0007716152,0.3,7.194444,7.2,0.00555600000000034,99.92
atmosphereAnalysis,Landed@Kerbin,Tundra,10,0.0007716152,0.3,7.194444,7.2,0.00555600000000034,99.92
atmosphereAnalysis,Landed@Kerbin,Water,10,1,0.3,0,7.2,7.2,0.00
atmosphereAnalysis,FlyingLow@Kerbin,Badlands,10,1,0.7,0,16.8,16.8,0.00
atmosphereAnalysis,FlyingLow@Kerbin,Deserts,10,1,0.7,0,16.8,16.8,0.00
atmosphereAnalysis,FlyingLow@Kerbin,Grasslands,10,1,0.7,0,16.8,16.8,0.00
atmosphereAnalysis,FlyingLow@Kerbin,Highlands,10,1,0.7,0,16.8,16.8,0.00
atmosphereAnalysis,FlyingLow@Kerbin,IceCaps,10,1,0.7,0,16.8,16.8,0.00
atmosphereAnalysis,FlyingLow@Kerbin,Mountains,10,1,0.7,0,16.8,16.8,0.00
atmosphereAnalysis,FlyingLow@Kerbin,Shores,10,1,0.7,0,16.8,16.8,0.00
atmosphereAnalysis,FlyingLow@Kerbin,Tundra,10,1,0.7,0,16.8,16.8,0.00
atmosphereAnalysis,FlyingLow@Kerbin,Water,10,0.1666666,0.7,14,16.8,2.8,83.33
atmosphereAnalysis,FlyingHigh@Kerbin,Badlands,10,1,0.9,0,21.6,21.6,0.00
atmosphereAnalysis,FlyingHigh@Kerbin,Deserts,10,1,0.9,0,21.6,21.6,0.00
atmosphereAnalysis,FlyingHigh@Kerbin,Grasslands,10,1,0.9,0,21.6,21.6,0.00
atmosphereAnalysis,FlyingHigh@Kerbin,Highlands,10,1,0.9,0,21.6,21.6,0.00
atmosphereAnalysis,FlyingHigh@Kerbin,IceCaps,10,1,0.9,0,21.6,21.6,0.00
atmosphereAnalysis,FlyingHigh@Kerbin,Mountains,10,1,0.9,0,21.6,21.6,0.00
atmosphereAnalysis,FlyingHigh@Kerbin,Shores,10,1,0.9,0,21.6,21.6,0.00
atmosphereAnalysis,FlyingHigh@Kerbin,Tundra,10,1,0.9,0,21.6,21.6,0.00
atmosphereAnalysis,FlyingHigh@Kerbin,Water,10,1,0.9,0,21.6,21.6,0.00
atmosphereAnalysis,Landed@Laythe,Dunes,10,1,14,0,336,336,0
atmosphereAnalysis,Landed@Laythe,Poles,10,1,14,0,336,336,0
atmosphereAnalysis,Landed@Laythe,Shores,10,1,14,0,336,336,0
atmosphereAnalysis,Landed@Laythe,TheSagenSea,10,1,14,0,336,336,0
atmosphereAnalysis,FlyingLow@Laythe,Dunes,10,1,11,0,264,264,0
atmosphereAnalysis,FlyingLow@Laythe,Poles,10,1,11,0,264,264,0
atmosphereAnalysis,FlyingLow@Laythe,Shores,10,1,11,0,264,264,0
atmosphereAnalysis,FlyingLow@Laythe,TheSagenSea,10,1,11,0,264,264,0
atmosphereAnalysis,FlyingHigh@Laythe,Dunes,10,1,10,0,240,240,0
atmosphereAnalysis,FlyingHigh@Laythe,Poles,10,1,10,0,240,240,0
atmosphereAnalysis,FlyingHigh@Laythe,Shores,10,1,10,0,240,240,0
atmosphereAnalysis,FlyingHigh@Laythe,TheSagenSea,10,1,10,0,240,240,0
barometerScan,Landed@Duna,Craters,1,1,8,0,96,96,0
barometerScan,Landed@Duna,Highlands,1,1,8,0,96,96,0
barometerScan,Landed@Duna,Lowlands,1,1,8,0,96,96,0
barometerScan,Landed@Duna,Midlands,1,1,8,0,96,96,0
barometerScan,Landed@Duna,Poles,1,1,8,0,96,96,0
barometerScan,FlyingLow@Duna,Global,1,1,5,0,60,60,0
barometerScan,FlyingHigh@Duna,Global,1,1,5,0,60,60,0
barometerScan,Landed@Eve,ExplodiumSea,1,1,8,0,96,96,0
barometerScan,Landed@Eve,Highlands,1,1,8,0,96,96,0
barometerScan,Landed@Eve,ImpactEjecta,1,1,8,0,96,96,0
barometerScan,Landed@Eve,Lowlands,1,1,8,0,96,96,0
barometerScan,Landed@Eve,Midlands,1,1,8,0,96,96,0
barometerScan,Landed@Eve,Peaks,1,1,8,0,96,96,0
barometerScan,Landed@Eve,Poles,1,1,8,0,96,96,0
barometerScan,Splashed@Eve,ExplodiumSea,1,1,8,0,96,96,0
barometerScan,Splashed@Eve,Highlands,1,1,8,0,96,96,0
barometerScan,Splashed@Eve,ImpactEjecta,1,1,8,0,96,96,0
barometerScan,Splashed@Eve,Lowlands,1,1,8,0,96,96,0
barometerScan,Splashed@Eve,Midlands,1,1,8,0,96,96,0
barometerScan,Splashed@Eve,Peaks,1,1,8,0,96,96,0
barometerScan,Splashed@Eve,Poles,1,1,8,0,96,96,0
barometerScan,FlyingLow@Eve,Global,1,1,6,0,72,72,0
barometerScan,FlyingHigh@Eve,Global,1,1,6,0,72,72,0
barometerScan,FlyingLow@Jool,Global,1,1,12,0,144,144,0
barometerScan,FlyingHigh@Jool,Global,1,1,9,0,108,108,0
barometerScan,Landed@KSC,Administration,1,0,0.3,3.6,3.6,0,100.00
barometerScan,Landed@KSC,AstronautComplex,1,0,0.3,3.6,3.6,0,100.00
barometerScan,Landed@KSC,Crawlerway,1,0,0.3,3.6,3.6,0,100.00
barometerScan,Landed@KSC,FlagPole,1,0,0.3,3.6,3.6,0,100.00
barometerScan,Landed@KSC,KSC,1,0,0.3,3.6,3.6,0,100.00
barometerScan,Landed@KSC,LaunchPad,1,0,0.3,3.6,3.6,0,100.00
barometerScan,Landed@KSC,MissionControl,1,0,0.3,3.6,3.6,0,100.00
barometerScan,Landed@KSC,R&D,1,0,0.3,3.6,3.6,0,100.00
barometerScan,Landed@KSC,R&DCentralBuilding,1,0,0.3,3.6,3.6,0,100.00
barometerScan,Landed@KSC,R&DCornerLab,1,1,0.3,0,3.6,3.6,0
barometerScan,Landed@KSC,R&DMainBuilding,1,0,0.3,3.6,3.6,0,100.00
barometerScan,Landed@KSC,R&DObservatory,1,0,0.3,3.6,3.6,0,100.00
barometerScan,Landed@KSC,R&DSideLab,1,0,0.3,3.6,3.6,0,100.00
barometerScan,Landed@KSC,R&DSmallLab,1,0,0.3,3.6,3.6,0,100.00
barometerScan,Landed@KSC,R&DTanks,1,0,0.3,3.6,3.6,0,100.00
barometerScan,Landed@KSC,R&DWindTunnel,1,1,0.3,0,3.6,3.6,0
barometerScan,Landed@KSC,Runway,1,0,0.3,3.6,3.6,0,100.00
barometerScan,Landed@KSC,SPH,1,0,0.3,3.6,3.6,0,100.00
barometerScan,Landed@KSC,SPHMainBuilding,1,0,0.3,3.6,3.6,0,100.00
barometerScan,Landed@KSC,SPHRoundTank,1,1,0.3,0,3.6,3.6,0
barometerScan,Landed@KSC,SPHTanks,1,1,0.3,0,3.6,3.6,0
barometerScan,Landed@KSC,SPHWaterTower,1,1,0.3,0,3.6,3.6,0
barometerScan,Landed@KSC,TrackingStation,1,0,0.3,3.6,3.6,0,100.00
barometerScan,Landed@KSC,TrackingStationDishEast,1,1,0.3,0,3.6,3.6,0
barometerScan,Landed@KSC,TrackingStationDishNorth,1,1,0.3,0,3.6,3.6,0
barometerScan,Landed@KSC,TrackingStationHub,1,0,0.3,3.6,3.6,0,100.00
barometerScan,Landed@KSC,TrackingStationSouth,1,1,0.3,0,3.6,3.6,0
barometerScan,Landed@KSC,VAB,1,0,0.3,3.6,3.6,0,100.00
barometerScan,Landed@KSC,VABMainBuilding,1,0,0.3,3.6,3.6,0,100.00
barometerScan,Landed@KSC,VABPodMemorial,1,1,0.3,0,3.6,3.6,0
barometerScan,Landed@KSC,VABRoundTank,1,1,0.3,0,3.6,3.6,0
barometerScan,Landed@KSC,VABTanks,1,1,0.3,0,3.6,3.6,0
barometerScan,Landed@Kerbin,Badlands,1,1,0.3,0,3.6,3.6,0.00
barometerScan,Landed@Kerbin,Deserts,1,1,0.3,0,3.6,3.6,0.00
barometerScan,Landed@Kerbin,Grasslands,1,0,0.3,3.6,3.6,0,100.00
barometerScan,Landed@Kerbin,Highlands,1,0,0.3,3.6,3.6,0,100.00
barometerScan,Landed@Kerbin,IceCaps,1,1,0.3,0,3.6,3.6,0.00
barometerScan,Landed@Kerbin,Mountains,1,1,0.3,0,3.6,3.6,0.00
barometerScan,Landed@Kerbin,Shores,1,0,0.3,3.6,3.6,0,100.00
barometerScan,Landed@Kerbin,Tundra,1,0,0.3,3.6,3.6,0,100.00
barometerScan,Landed@Kerbin,Water,1,1,0.3,0,3.6,3.6,0.00
barometerScan,Splashed@Kerbin,Badlands,1,1,0.4,0,4.8,4.8,0.00
barometerScan,Splashed@Kerbin,Deserts,1,1,0.4,0,4.8,4.8,0.00
barometerScan,Splashed@Kerbin,Grasslands,1,1,0.4,0,4.8,4.8,0.00
barometerScan,Splashed@Kerbin,Highlands,1,1,0.4,0,4.8,4.8,0.00
barometerScan,Splashed@Kerbin,IceCaps,1,1,0.4,0,4.8,4.8,0.00
barometerScan,Splashed@Kerbin,Mountains,1,1,0.4,0,4.8,4.8,0.00
barometerScan,Splashed@Kerbin,Shores,1,1,0.4,0,4.8,4.8,0.00
barometerScan,Splashed@Kerbin,Tundra,1,1,0.4,0,4.8,4.8,0.00
barometerScan,Splashed@Kerbin,Water,1,0,0.4,4.8,4.8,0,100.00
barometerScan,FlyingLow@Kerbin,Global,1,0,0.7,8.4,8.4,0,100.00
barometerScan,FlyingHigh@Kerbin,Global,1,8.830317E-08,0.9,10.8,10.8,0,100.00
barometerScan,Landed@Laythe,Dunes,1,1,14,0,168,168,0
barometerScan,Landed@Laythe,Poles,1,1,14,0,168,168,0
barometerScan,Landed@Laythe,Shores,1,1,14,0,168,168,0
barometerScan,Landed@Laythe,TheSagenSea,1,1,14,0,168,168,0
barometerScan,Splashed@Laythe,Dunes,1,1,12,0,144,144,0
barometerScan,Splashed@Laythe,Poles,1,1,12,0,144,144,0
barometerScan,Splashed@Laythe,Shores,1,1,12,0,144,144,0
barometerScan,Splashed@Laythe,TheSagenSea,1,1,12,0,144,144,0
barometerScan,FlyingLow@Laythe,Global,1,1,11,0,132,132,0
barometerScan,FlyingHigh@Laythe,Global,1,1,10,0,120,120,0
crewReport,Landed@Bop,Peaks,1,1,12,0,60,60,0
crewReport,Landed@Bop,Poles,1,1,12,0,60,60,0
crewReport,Landed@Bop,Rodges,1,1,12,0,60,60,0
crewReport,Landed@Bop,Slopes,1,1,12,0,60,60,0
crewReport,Landed@Bop,Valley,1,1,12,0,60,60,0
crewReport,InSpaceLow@Bop,Global,1,1,9,0,45,45,0
crewReport,InSpaceHigh@Bop,Global,1,1,8,0,40,40,0
crewReport,Landed@Dres,Canyons,1,1,8,0,40,40,0
crewReport,Landed@Dres,Highlands,1,1,8,0,40,40,0
crewReport,Landed@Dres,ImpactCraters,1,1,8,0,40,40,0
crewReport,Landed@Dres,ImpactEjecta,1,1,8,0,40,40,0
crewReport,Landed@Dres,Lowlands,1,1,8,0,40,40,0
crewReport,Landed@Dres,Midlands,1,1,8,0,40,40,0
crewReport,Landed@Dres,Poles,1,1,8,0,40,40,0
crewReport,Landed@Dres,Ridges,1,1,8,0,40,40,0
crewReport,InSpaceLow@Dres,Global,1,1,7,0,35,35,0
crewReport,InSpaceHigh@Dres,Global,1,1,6,0,30,30,0
crewReport,Landed@Duna,Craters,1,1,8,0,40,40,0
crewReport,Landed@Duna,Highlands,1,1,8,0,40,40,0
crewReport,Landed@Duna,Lowlands,1,1,8,0,40,40,0
crewReport,Landed@Duna,Midlands,1,1,8,0,40,40,0
crewReport,Landed@Duna,Poles,1,1,8,0,40,40,0
crewReport,FlyingLow@Duna,Craters,1,1,5,0,25,25,0
crewReport,FlyingLow@Duna,Highlands,1,1,5,0,25,25,0
crewReport,FlyingLow@Duna,Lowlands,1,1,5,0,25,25,0
crewReport,FlyingLow@Duna,Midlands,1,1,5,0,25,25,0
crewReport,FlyingLow@Duna,Poles,1,1,5,0,25,25,0
crewReport,FlyingHigh@Duna,Global,1,1,5,0,25,25,0
crewReport,InSpaceLow@Duna,Global,1,1,7,0,35,35,0
crewReport,InSpaceHigh@Duna,Global,1,1,5,0,25,25,0
crewReport,Landed@Eeloo,Craters,1,1,15,0,75,75,0
crewReport,Landed@Eeloo,Glaciers,1,1,15,0,75,75,0
crewReport,Landed@Eeloo,Highlands,1,1,15,0,75,75,0
crewReport,Landed@Eeloo,IceCanyons,1,1,15,0,75,75,0
crewReport,Landed@Eeloo,Lowlands,1,1,15,0,75,75,0
crewReport,Landed@Eeloo,Midlands,1,1,15,0,75,75,0
crewReport,Landed@Eeloo,Poles,1,1,15,0,75,75,0
crewReport,InSpaceLow@Eeloo,Global,1,1,12,0,60,60,0
crewReport,InSpaceHigh@Eeloo,Global,1,1,10,0,50,50,0
crewReport,Landed@Eve,ExplodiumSea,1,1,8,0,40,40,0
crewReport,Landed@Eve,Highlands,1,1,8,0,40,40,0
crewReport,Landed@Eve,ImpactEjecta,1,1,8,0,40,40,0
crewReport,Landed@Eve,Lowlands,1,1,8,0,40,40,0
crewReport,Landed@Eve,Midlands,1,1,8,0,40,40,0
crewReport,Landed@Eve,Peaks,1,1,8,0,40,40,0
crewReport,Landed@Eve,Poles,1,1,8,0,40,40,0
crewReport,Splashed@Eve,ExplodiumSea,1,1,8,0,40,40,0
crewReport,Splashed@Eve,Highlands,1,1,8,0,40,40,0
crewReport,Splashed@Eve,ImpactEjecta,1,1,8,0,40,40,0
crewReport,Splashed@Eve,Lowlands,1,1,8,0,40,40,0
crewReport,Splashed@Eve,Midlands,1,1,8,0,40,40,0
crewReport,Splashed@Eve,Peaks,1,1,8,0,40,40,0
crewReport,Splashed@Eve,Poles,1,1,8,0,40,40,0
crewReport,FlyingLow@Eve,ExplodiumSea,1,1,6,0,30,30,0
crewReport,FlyingLow@Eve,Highlands,1,1,6,0,30,30,0
crewReport,FlyingLow@Eve,ImpactEjecta,1,1,6,0,30,30,0
crewReport,FlyingLow@Eve,Lowlands,1,1,6,0,30,30,0
crewReport,FlyingLow@Eve,Midlands,1,1,6,0,30,30,0
crewReport,FlyingLow@Eve,Peaks,1,1,6,0,30,30,0
crewReport,FlyingLow@Eve,Poles,1,1,6,0,30,30,0
crewReport,FlyingHigh@Eve,Global,1,1,6,0,30,30,0
crewReport,InSpaceLow@Eve,Global,1,1,7,0,35,35,0
crewReport,InSpaceHigh@Eve,Global,1,1,5,0,25,25,0
crewReport,Landed@Gilly,Highlands,1,1,9,0,45,45,0
crewReport,Landed@Gilly,Lowlands,1,1,9,0,45,45,0
crewReport,Landed@Gilly,Midlands,1,1,9,0,45,45,0
crewReport,InSpaceLow@Gilly,Global,1,1,8,0,40,40,0
crewReport,InSpaceHigh@Gilly,Global,1,1,6,0,30,30,0
crewReport,Landed@Ike,CentralMountainRidge,1,1,8,0,40,40,0
crewReport,Landed@Ike,EasternMountainRidge,1,1,8,0,40,40,0
crewReport,Landed@Ike,Lowlands,1,1,8,0,40,40,0
crewReport,Landed@Ike,Midlands,1,1,8,0,40,40,0
crewReport,Landed@Ike,PolarLowlands,1,1,8,0,40,40,0
crewReport,Landed@Ike,SouthEasternMountainRange,1,1,8,0,40,40,0
crewReport,Landed@Ike,SouthPole,1,1,8,0,40,40,0
crewReport,Landed@Ike,WesternMountainRidge,1,1,8,0,40,40,0
crewReport,InSpaceLow@Ike,Global,1,1,7,0,35,35,0
crewReport,InSpaceHigh@Ike,Global,1,1,5,0,25,25,0
crewReport,FlyingLow@Jool,Global,1,1,12,0,60,60,0
crewReport,FlyingHigh@Jool,Global,1,1,9,0,45,45,0
crewReport,InSpaceLow@Jool,Global,1,1,7,0,35,35,0
crewReport,InSpaceHigh@Jool,Global,1,1,6,0,30,30,0
crewReport,Landed@KSC,Administration,1,0,0.3,1.5,1.5,0,100.00
crewReport,Landed@KSC,AstronautComplex,1,0,0.3,1.5,1.5,0,100.00
crewReport,Landed@KSC,Crawlerway,1,0,0.3,1.5,1.5,0,100.00
crewReport,Landed@KSC,FlagPole,1,1,0.3,0,1.5,1.5,0
crewReport,Landed@KSC,KSC,1,0,0.3,1.5,1.5,0,100.00
crewReport,Landed@KSC,LaunchPad,1,0,0.3,1.5,1.5,0,100.00
crewReport,Landed@KSC,MissionControl,1,0,0.3,1.5,1.5,0,100.00
crewReport,Landed@KSC,R&D,1,0,0.3,1.5,1.5,0,100.00
crewReport,Landed@KSC,R&DCentralBuilding,1,1,0.3,0,1.5,1.5,0
crewReport,Landed@KSC,R&DCornerLab,1,1,0.3,0,1.5,1.5,0
crewReport,Landed@KSC,R&DMainBuilding,1,1,0.3,0,1.5,1.5,0
crewReport,Landed@KSC,R&DObservatory,1,1,0.3,0,1.5,1.5,0
crewReport,Landed@KSC,R&DSideLab,1,1,0.3,0,1.5,1.5,0
crewReport,Landed@KSC,R&DSmallLab,1,0,0.3,1.5,1.5,0,100.00
crewReport,Landed@KSC,R&DTanks,1,1,0.3,0,1.5,1.5,0
crewReport,Landed@KSC,R&DWindTunnel,1,1,0.3,0,1.5,1.5,0
crewReport,Landed@KSC,Runway,1,0,0.3,1.5,1.5,0,100.00
crewReport,Landed@KSC,SPH,1,0,0.3,1.5,1.5,0,100.00
crewReport,Landed@KSC,SPHMainBuilding,1,1,0.3,0,1.5,1.5,0
crewReport,Landed@KSC,SPHRoundTank,1,1,0.3,0,1.5,1.5,0
crewReport,Landed@KSC,SPHTanks,1,1,0.3,0,1.5,1.5,0
crewReport,Landed@KSC,SPHWaterTower,1,1,0.3,0,1.5,1.5,0
crewReport,Landed@KSC,TrackingStation,1,0,0.3,1.5,1.5,0,100.00
crewReport,Landed@KSC,TrackingStationDishEast,1,1,0.3,0,1.5,1.5,0
crewReport,Landed@KSC,TrackingStationDishNorth,1,1,0.3,0,1.5,1.5,0
crewReport,Landed@KSC,TrackingStationHub,1,0,0.3,1.5,1.5,0,100.00
crewReport,Landed@KSC,TrackingStationSouth,1,1,0.3,0,1.5,1.5,0
crewReport,Landed@KSC,VAB,1,0,0.3,1.5,1.5,0,100.00
crewReport,Landed@KSC,VABMainBuilding,1,0,0.3,1.5,1.5,0,100.00
crewReport,Landed@KSC,VABPodMemorial,1,1,0.3,0,1.5,1.5,0
crewReport,Landed@KSC,VABRoundTank,1,1,0.3,0,1.5,1.5,0
crewReport,Landed@KSC,VABTanks,1,1,0.3,0,1.5,1.5,0
crewReport,Landed@Kerbin,Badlands,1,0,0.3,1.5,1.5,0,100.00
crewReport,Landed@Kerbin,Deserts,1,1,0.3,0,1.5,1.5,0.00
crewReport,Landed@Kerbin,Grasslands,1,0,0.3,1.5,1.5,0,100.00
crewReport,Landed@Kerbin,Highlands,1,0,0.3,1.5,1.5,0,100.00
crewReport,Landed@Kerbin,IceCaps,1,0,0.3,1.5,1.5,0,100.00
crewReport,Landed@Kerbin,Mountains,1,1,0.3,0,1.5,1.5,0.00
crewReport,Landed@Kerbin,Shores,1,0,0.3,1.5,1.5,0,100.00
crewReport,Landed@Kerbin,Tundra,1,1,0.3,0,1.5,1.5,0.00
crewReport,Landed@Kerbin,Water,1,0,0.3,1.5,1.5,0,100.00
crewReport,Splashed@Kerbin,Badlands,1,1,0.4,0,2,2,0.00
crewReport,Splashed@Kerbin,Deserts,1,1,0.4,0,2,2,0.00
crewReport,Splashed@Kerbin,Grasslands,1,1,0.4,0,2,2,0.00
crewReport,Splashed@Kerbin,Highlands,1,1,0.4,0,2,2,0.00
crewReport,Splashed@Kerbin,IceCaps,1,1,0.4,0,2,2,0.00
crewReport,Splashed@Kerbin,Mountains,1,1,0.4,0,2,2,0.00
crewReport,Splashed@Kerbin,Shores,1,0,0.4,2,2,0,100.00
crewReport,Splashed@Kerbin,Tundra,1,1,0.4,0,2,2,0.00
crewReport,Splashed@Kerbin,Water,1,0,0.4,2,2,0,100.00
crewReport,FlyingLow@Kerbin,Badlands,1,0,0.7,3.5,3.5,0,100.00
crewReport,FlyingLow@Kerbin,Deserts,1,1,0.7,0,3.5,3.5,0.00
crewReport,FlyingLow@Kerbin,Grasslands,1,0,0.7,3.5,3.5,0,100.00
crewReport,FlyingLow@Kerbin,Highlands,1,0,0.7,3.5,3.5,0,100.00
crewReport,FlyingLow@Kerbin,IceCaps,1,0,0.7,3.5,3.5,0,100.00
crewReport,FlyingLow@Kerbin,Mountains,1,0,0.7,3.5,3.5,0,100.00
crewReport,FlyingLow@Kerbin,Shores,1,0,0.7,3.5,3.5,0,100.00
crewReport,FlyingLow@Kerbin,Tundra,1,0,0.7,3.5,3.5,0,100.00
crewReport,FlyingLow@Kerbin,Water,1,0,0.7,3.5,3.5,0,100.00
